"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.656984540E-1,-1.377422810E0,8.463711739E-1,6.904087067E-1,1.757925466E0
5.705474640E-1,-1.999066353E0,8.682415485E-1,4.264383316E-1,2.220801504E0
5.753965270E-1,-1.909993649E0,8.673920631E-1,8.437108994E-2,2.099419732E0
5.802455370E-1,-1.391252041E0,7.972447872E-1,-2.546558380E-1,1.623585873E0
5.850945470E-1,-8.256254196E-1,6.374943256E-1,-4.836821556E-1,1.149784665E0
5.899435580E-1,-4.857544899E-1,4.838378429E-1,-5.103993416E-1,8.547303496E-1
5.947925680E-1,-2.961125374E-1,3.949675560E-1,-3.669695854E-1,6.151005460E-1
5.996415790E-1,-3.879590034E-1,3.224604130E-1,-1.869516373E-1,5.379998336E-1
6.044905890E-1,-5.442171097E-1,2.184708118E-1,-2.117061615E-2,5.868133886E-1
6.093396520E-1,-6.179041862E-1,1.305205822E-1,8.059024811E-2,6.366600300E-1
6.141886620E-1,-9.403405190E-1,1.148819923E-1,2.162842751E-1,9.717083160E-1
6.190376720E-1,-5.954227448E-1,1.970975399E-1,3.053455353E-1,6.975755021E-1
6.238866830E-1,-2.817940712E-1,2.670927048E-1,1.794757843E-1,4.277358632E-1
6.287356930E-1,-3.717184067E-1,4.265129566E-1,-2.753329277E-1,6.292027472E-1
6.335847560E-1,7.413625717E-2,4.415605068E-1,-2.368597984E-1,5.065317660E-1
6.384337660E-1,1.101980209E-1,4.762418270E-1,-8.755016327E-2,4.966033756E-1
6.432827770E-1,-6.659364700E-2,6.030373573E-1,-3.556871414E-2,6.077449314E-1
6.481317870E-1,-1.567606926E-1,7.543561459E-1,-6.043577194E-2,7.728386585E-1
6.529807970E-1,-1.220078468E-1,8.515324593E-1,-4.481983185E-2,8.613955312E-1
6.578298080E-1,-1.473774910E-1,9.235548973E-1,9.693956375E-2,9.402505263E-1
6.626788700E-1,6.807231903E-2,8.738269806E-1,2.596988678E-1,9.141394503E-1
6.675278810E-1,1.776342392E-1,7.276728153E-1,4.420080185E-1,8.697314169E-1
6.723768910E-1,-2.414321899E-2,6.499207020E-1,6.630868912E-1,9.287970926E-1
6.772259020E-1,3.290462494E-2,5.244214535E-1,6.374063492E-1,8.260674483E-1
6.820749120E-1,-4.799032211E-2,4.420092106E-1,8.075399399E-1,9.218437871E-1
6.869239740E-1,-1.611418724E-1,4.048194885E-1,1.172232628E0,1.250589803E0
6.917729850E-1,-2.409868240E-1,4.483280182E-1,1.071315289E0,1.186081409E0
6.966219950E-1,-2.913932800E-1,4.441738129E-1,8.207912445E-1,9.777007143E-1
7.014710060E-1,-2.571573257E-1,3.696343899E-1,6.031508446E-1,7.526954322E-1
7.063200160E-1,-1.594486237E-1,2.660775185E-1,4.191832542E-1,5.214745536E-1
7.111690270E-1,-5.033779144E-2,2.219202518E-1,2.885365486E-1,3.674722184E-1
7.160180890E-1,2.785110474E-2,1.868603230E-1,2.235331535E-1,2.926765024E-1
7.208670990E-1,8.262014389E-2,2.030636072E-1,2.218208313E-1,3.118740097E-1
7.257161100E-1,5.487108231E-2,2.361012697E-1,2.764062881E-1,3.676344399E-1
7.305651200E-1,-2.635097504E-2,2.566487789E-1,3.919024467E-1,4.692019793E-1
7.354141310E-1,-9.682846069E-2,2.712817192E-1,4.749689102E-1,5.554862623E-1
7.402631930E-1,-1.594247818E-1,3.175019026E-1,5.515418053E-1,6.560656081E-1
7.451122040E-1,-1.312637329E-1,3.663663864E-1,5.904073715E-1,7.071317848E-1
7.499612140E-1,-6.296253204E-2,3.844872713E-1,5.631356239E-1,6.847747609E-1
7.548102240E-1,-2.117538452E-2,4.316409826E-1,5.107693672E-1,6.690647811E-1
7.596592350E-1,6.309509277E-3,3.982169628E-1,4.693837166E-1,6.155791036E-1
7.645082970E-1,-2.548122406E-2,4.132583141E-1,3.938503265E-1,5.714453663E-1
7.693573080E-1,-4.251384735E-2,4.339224100E-1,2.747097015E-1,5.153266006E-1
7.742063180E-1,-1.649188995E-2,4.296722412E-1,1.142439842E-1,4.449066253E-1
7.790553290E-1,7.079124451E-3,4.225662947E-1,-3.525257111E-2,4.240933048E-1
7.839043390E-1,-2.626419067E-3,4.130914211E-1,-1.667666435E-1,4.454913396E-1
7.887534020E-1,-4.982948303E-3,3.967597485E-1,-2.329497337E-1,4.601181438E-1
7.936024120E-1,-5.718517303E-2,3.951692581E-1,-2.510204315E-1,4.716356047E-1
7.984514220E-1,-1.305780411E-1,3.917591572E-1,-2.929811478E-1,5.063238242E-1
8.033004330E-1,-1.800508499E-1,4.105075598E-1,-3.186645508E-1,5.499835099E-1
8.081494430E-1,-2.296409607E-1,3.966921568E-1,-3.236351013E-1,5.611054419E-1
8.129984540E-1,-2.603654861E-1,3.671532869E-1,-2.771801949E-1,5.286024810E-1
8.178475160E-1,-3.151283264E-1,4.026618004E-1,-2.128000259E-1,5.538287088E-1
8.226965270E-1,-3.939428329E-1,4.406981468E-1,-1.045970917E-1,6.002885671E-1
8.275455370E-1,-4.636735916E-1,5.165969133E-1,-2.460718155E-2,6.946013848E-1
8.323945470E-1,-5.603427887E-1,5.801265240E-1,3.059387207E-3,8.065607135E-1
8.372435580E-1,-6.101865768E-1,6.386781931E-1,2.835035324E-2,8.837653735E-1
8.420926200E-1,-6.204929352E-1,6.521105766E-1,4.186534882E-2,9.011173032E-1
8.469416310E-1,-5.889530182E-1,6.422857046E-1,3.672075272E-2,8.722069695E-1
8.517906410E-1,-5.465011597E-1,6.308106184E-1,3.005838394E-2,8.351581049E-1
8.566396520E-1,-5.193815231E-1,6.484782696E-1,9.327840805E-2,8.360514901E-1
8.614886620E-1,-5.336904526E-1,6.783130169E-1,1.522626877E-1,8.764233989E-1
8.663377240E-1,-4.821758270E-1,6.986286640E-1,2.379488945E-1,8.815867596E-1
8.711867350E-1,-3.675689697E-1,6.905231476E-1,3.025879860E-1,8.387423050E-1
8.760357450E-1,-2.615165710E-1,6.898366213E-1,3.297982216E-1,8.081041690E-1
8.808847560E-1,-2.280311584E-1,6.511477232E-1,3.606214523E-1,7.784853233E-1
8.857338180E-1,-1.926975250E-1,6.244322062E-1,4.026775360E-1,7.675917627E-1
8.905828290E-1,-2.388048172E-1,5.903265476E-1,4.060354233E-1,7.552336979E-1
8.954318390E-1,-2.993068695E-1,5.415872335E-1,4.042129517E-1,7.391139587E-1
9.002808490E-1,-3.457040787E-1,5.186357498E-1,4.065613747E-1,7.441683293E-1
9.051298600E-1,-3.090314865E-1,4.689946175E-1,3.964323997E-1,6.874700418E-1
9.099788700E-1,-2.277231216E-1,4.238184690E-1,3.835411072E-1,6.152915534E-1
9.148279330E-1,-1.231765747E-1,3.903129101E-1,3.611774445E-1,5.458624211E-1
9.196769430E-1,-2.854251862E-2,3.780359030E-1,3.274788857E-1,5.009673042E-1
9.245259540E-1,5.637454987E-2,3.820908070E-1,2.827472687E-1,4.786621905E-1
9.293749640E-1,1.150531769E-1,4.144123793E-1,2.366652489E-1,4.909025297E-1
9.342240270E-1,1.547555923E-1,3.916358948E-1,2.272553444E-1,4.785111900E-1
9.390730370E-1,1.874589920E-1,3.951064348E-1,2.113952637E-1,4.857344192E-1
9.439220470E-1,2.012758255E-1,3.962314129E-1,2.080888748E-1,4.907262682E-1
9.487710580E-1,2.058706284E-1,3.449730873E-1,2.054595947E-1,4.512236603E-1
9.536200680E-1,1.560297012E-1,3.201264143E-1,2.582149506E-1,4.398876555E-1
