"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.616107125E0,-3.238666331E0,9.992063584E0,1.177102983E0,1.056957264E1
1.626061125E0,-3.875695333E0,1.019703656E1,9.768802126E-1,1.095239078E1
1.636015125E0,-4.945803040E0,1.002911388E1,5.268877054E-1,1.119471767E1
1.645969125E0,-6.232664693E0,9.409080981E0,-6.433917962E-2,1.128632153E1
1.655923125E0,-7.499246448E0,8.721371237E0,-7.075095125E-1,1.152395693E1
1.665877125E0,-8.495400326E0,8.001237513E0,-1.109510266E0,1.172274036E1
1.675832125E0,-9.057521233E0,7.384102492E0,-9.678708959E-1,1.172605793E1
1.685786125E0,-9.108865634E0,7.172132739E0,-4.832676228E-1,1.160364032E1
1.695740125E0,-8.764927731E0,7.236153318E0,4.108370662E-2,1.136607060E1
1.705694125E0,-8.195459797E0,7.190585382E0,4.169988620E-1,1.091072717E1
1.715648000E0,-7.608903376E0,7.040896661E0,8.278289115E-1,1.039975659E1
1.725602000E0,-7.025049537E0,6.933754621E0,1.177174027E0,9.940523770E0
1.735556000E0,-6.605965558E0,6.811147864E0,1.329124743E0,9.581079728E0
1.745510000E0,-6.307012040E0,6.893442746E0,1.557605864E0,9.472280074E0
1.755464000E0,-6.263309950E0,7.626965425E0,1.951695481E0,1.006025687E1
1.765418000E0,-6.042394542E0,7.720670564E0,2.071044315E0,1.002040470E1
1.775372000E0,-5.375886217E0,6.823039931E0,1.993112479E0,8.912155961E0
1.785326000E0,-5.486503258E0,7.038205188E0,2.412584713E0,9.244382903E0
1.795280000E0,-5.564667082E0,6.853415047E0,2.671612712E0,9.223466378E0
1.805234000E0,-4.944720721E0,6.855263937E0,2.873163897E0,8.927484384E0
1.815188000E0,-4.212906598E0,7.201578147E0,2.692866172E0,8.767145376E0
1.825142000E0,-4.327713754E0,6.938489111E0,2.736665325E0,8.623286762E0
1.835096000E0,-4.072213234E0,6.565846642E0,2.861209849E0,8.238918895E0
1.845050000E0,-3.410547574E0,6.483417858E0,2.780747484E0,7.835757682E0
1.855004000E0,-2.713716758E0,6.122044728E0,2.771071512E0,7.247242760E0
1.864958000E0,-2.093849918E0,4.855827840E0,2.283212582E0,5.759889859E0
1.874912000E0,-1.178402234E0,2.914467459E0,9.241032442E-1,3.276693333E0
1.884866000E0,2.723434246E-1,1.661696827E-1,-6.904672909E-1,7.606105338E-1
1.894820000E0,2.654043583E0,-2.783525496E0,-1.736920087E0,4.220053663E0
1.904775000E0,5.053798774E0,-6.189761918E0,-1.850432085E0,8.202324887E0
1.914729000E0,5.093884946E0,-8.200493665E0,-9.954253149E-1,9.704979740E0
1.924683000E0,5.354583056E0,-8.567015854E0,-3.205174649E-1,1.010782132E1
1.934637000E0,7.838674977E0,-9.317687246E0,9.774205685E-3,1.217637945E1
1.944591000E0,1.018105495E1,-1.014125880E1,5.284210646E-1,1.437978577E1
1.954545000E0,1.264996691E1,-1.181082481E1,2.966339278E-1,1.730910851E1
1.964499000E0,1.390035422E1,-1.421757736E1,-9.429366142E-1,1.990599113E1
1.974453000E0,1.393232913E1,-1.619571147E1,-1.952805721E0,2.145283933E1
1.984407000E0,1.295985063E1,-1.828322593E1,-1.817557284E0,2.248416317E1
1.994361000E0,1.162937051E1,-2.038861650E1,-6.766585064E-1,2.348181866E1
2.004315000E0,1.055119423E1,-2.141599100E1,9.634948397E-1,2.389352825E1
2.014269000E0,9.149760475E0,-2.039433507E1,2.174612246E0,2.245831602E1
2.024223000E0,7.101565617E0,-1.712786640E1,2.197311137E0,1.867148141E1
2.034177000E0,6.122965665E0,-1.407385514E1,8.113491189E-1,1.536952812E1
2.044131000E0,5.375098597E0,-1.134414333E1,-5.826656842E-1,1.256665318E1
