"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.020843250E0,3.506820517E0,5.989262062E-1,1.492522845E0,3.857995229E0
1.030797250E0,3.808639171E0,8.194533598E-1,1.819050078E0,4.299555714E0
1.040751250E0,3.984342155E0,1.089574258E0,1.973730567E0,4.577965358E0
1.050704250E0,3.953394889E0,1.348748583E0,1.870647663E0,4.576874104E0
1.060658250E0,3.506940385E0,1.529700612E0,1.444694960E0,4.089713725E0
1.070611250E0,3.196796758E0,1.761626328E0,9.461566758E-1,3.770682867E0
1.080565250E0,3.014225636E0,2.037636541E0,4.441387135E-1,3.665348285E0
1.090518250E0,2.798689373E0,1.935365231E0,-2.372507751E-1,3.410951292E0
1.100472250E0,2.573096484E0,2.029252803E0,-8.010603583E-1,3.373483386E0
1.110426250E0,1.919483901E0,2.062644498E0,-1.261033332E0,3.086928220E0
1.120379250E0,1.790102268E0,2.085381396E0,-1.486782049E0,3.124708395E0
1.130333250E0,1.938022498E0,2.085988337E0,-1.512453080E0,3.224095666E0
1.140286250E0,1.798090442E0,1.972153573E0,-1.088603035E0,2.882286509E0
1.150240250E0,1.680233670E0,2.056181570E0,-3.075471711E-1,2.673135444E0
1.160193250E0,1.695208974E0,2.055386934E0,8.544887066E-2,2.665642591E0
1.170147250E0,1.204457427E0,1.516891116E0,6.959052014E-1,2.058144894E0
1.180101250E0,9.456330577E-1,1.537004369E0,8.142890990E-1,1.979815912E0
1.190054250E0,5.221832550E-1,1.118243156E0,9.601597706E-2,1.237886172E0
1.200008250E0,-1.382796335E-1,4.874566412E-1,-6.924775636E-1,8.580561813E-1
1.209961250E0,-7.075282967E-1,2.537229663E-1,-9.525254631E-1,1.213373970E0
1.219915250E0,-7.918591797E-1,2.518243754E-1,-6.548413754E-1,1.057957326E0
1.229868250E0,-6.805773103E-1,2.477705008E-1,-6.844446588E-1,9.965140176E-1
1.239822250E0,-7.650011641E-1,3.652124119E-1,-4.872449720E-1,9.777599652E-1
1.249776250E0,-7.741602427E-1,3.237053668E-1,-2.015511847E-1,8.629786358E-1
1.259729250E0,-6.971465653E-1,3.068805885E-1,-9.625452518E-2,7.677590525E-1
1.269683250E0,-5.205635762E-1,4.147061688E-1,4.592987895E-2,6.671410624E-1
1.279636250E0,-2.885402119E-1,5.484319907E-1,3.316191712E-2,6.205906985E-1
1.289590250E0,-9.465297282E-2,5.964949340E-1,-1.061748930E-1,6.132197807E-1
1.299543250E0,1.555739433E-1,5.382712841E-1,-3.502797925E-1,6.607837469E-1
1.309497250E0,5.147444272E-1,4.712645316E-1,-4.882577097E-1,8.517321617E-1
1.319451042E0,8.256952626E-1,4.257106286E-1,-4.794097030E-1,1.045387904E0
1.329404042E0,9.951095653E-1,3.844158375E-1,-4.281904328E-1,1.149506690E0
1.339358042E0,9.621914953E-1,1.053276497E-1,-3.783674777E-1,1.039263362E0
1.349311042E0,9.462087160E-1,-3.362178236E-1,-4.179519582E-1,1.087675135E0
1.359265042E0,8.451185435E-1,-6.921758473E-1,-3.672425652E-1,1.152475535E0
1.369218042E0,8.260782552E-1,-1.030208062E0,-2.442183173E-1,1.342898552E0
1.379172042E0,9.927098680E-1,-1.235283363E0,-1.427632785E-1,1.591156568E0
1.389126042E0,1.233203509E0,-1.481354079E0,-3.717659712E-3,1.927489201E0
1.399079042E0,1.396478820E0,-1.761842675E0,1.825933055E-1,2.255567117E0
1.409033042E0,1.365173997E0,-1.923800608E0,1.794159651E-1,2.365776597E0
1.418986042E0,1.556957992E0,-2.000835920E0,3.199596405E-3,2.535246104E0
1.428940042E0,1.684016819E0,-1.923677232E0,-2.337845457E-1,2.567314151E0
1.438893042E0,1.787905469E0,-1.493542600E0,-4.903790796E-1,2.380703069E0
1.448847042E0,1.969928707E0,-1.012894456E0,-7.222515857E-1,2.329854426E0
1.458800042E0,2.075552811E0,-5.617478549E-1,-9.540398920E-1,2.352375871E0
1.468754042E0,2.170816233E0,-3.571327293E-1,-1.077265284E0,2.449589230E0
1.478708042E0,2.239346770E0,-3.623168707E-1,-1.016740755E0,2.485902097E0
1.488661042E0,2.094369736E0,-3.935263842E-1,-6.593951869E-1,2.230706080E0
1.498615042E0,1.588601369E0,-3.864986157E-1,-1.210549239E-1,1.639417514E0
1.508568042E0,9.691976291E-1,-6.217519820E-2,4.313140154E-1,1.062657790E0
1.518522042E0,3.111864781E-1,4.466711426E-1,9.115353119E-1,1.061719718E0
1.528475042E0,-2.510507888E-1,8.089178467E-1,1.214371966E0,1.480565383E0
1.538429042E0,-7.395336163E-1,1.086432549E0,1.287220087E0,1.839614418E0
1.548383042E0,-1.131052067E0,1.454033548E0,1.178871181E0,2.187059578E0
1.558336042E0,-1.296198487E0,1.746170382E0,7.929280508E-1,2.314730312E0
1.568290042E0,-1.360350044E0,1.862437588E0,4.130543303E-1,2.343040736E0
1.578243042E0,-1.388615484E0,1.877582461E0,1.588992548E-1,2.340687471E0
1.588197042E0,-1.243508057E0,1.806160476E0,-1.401869953E-1,2.197312073E0
1.598151042E0,-1.053290530E0,1.519812970E0,-4.214380682E-1,1.896539599E0
1.608104042E0,-9.726966029E-1,1.007698036E0,-6.810187751E-1,1.557363344E0
1.618058042E0,-1.001782992E0,4.716229659E-1,-7.371064371E-1,1.330159120E0
1.628011042E0,-1.092752804E0,8.682004273E-2,-6.511599684E-1,1.275012045E0
1.637965042E0,-1.068386287E0,-1.733190733E-1,-6.515926623E-1,1.263353378E0
1.647918042E0,-9.171310973E-1,-4.536883861E-1,-7.447236049E-1,1.265533820E0
1.657872042E0,-7.924544263E-1,-7.910417390E-1,-9.040637398E-1,1.439118583E0
1.667826042E0,-7.010337943E-1,-1.153154542E0,-1.046699549E0,1.707862326E0
1.677779042E0,-4.048799229E-1,-1.317767696E0,-1.020552555E0,1.715216304E0
1.687733042E0,-8.601780474E-2,-1.292897733E0,-7.690123540E-1,1.506772582E0
1.697686042E0,2.822085544E-1,-1.201759522E0,-2.350399429E-1,1.256626990E0
1.707640042E0,5.459758678E-1,-1.071344393E0,5.091439641E-1,1.305793258E0
1.717593042E0,5.978900796E-1,-7.923170167E-1,1.174772283E0,1.537962522E0
1.727547042E0,6.033835387E-1,-4.523441112E-1,1.634644099E0,1.800207827E0
1.737500042E0,5.841839138E-1,-1.308840752E-2,1.998919787E0,2.082575921E0
1.747454042E0,6.055288821E-1,5.894110322E-1,2.204672781E0,2.361070237E0
1.757408042E0,6.256909588E-1,1.209946793E0,2.197512281E0,2.585443993E0
1.767361042E0,4.812094760E-1,1.671272228E0,1.975247920E0,2.631789840E0
1.777315042E0,2.284244031E-1,2.032790369E0,1.638848248E0,2.621113880E0
1.787268042E0,6.724590361E-2,2.253321615E0,1.327881625E0,2.616342853E0
1.797222042E0,-1.228567252E-1,2.353530028E0,1.001947299E0,2.560877927E0
1.807175042E0,-2.407269448E-1,2.326091968E0,6.396561563E-1,2.424420200E0
1.817129042E0,-2.771688393E-1,2.324980997E0,2.945055413E-1,2.359892523E0
1.827083042E0,-3.276551610E-1,2.309995168E0,5.913407961E-2,2.333866411E0
1.837036042E0,-2.948271382E-1,2.229513507E0,-3.956109166E-2,2.249270682E0
1.846990042E0,-1.878096431E-1,2.015261586E0,-8.739014626E-2,2.025879749E0
1.856943042E0,-2.375592157E-1,1.801949896E0,-4.148248672E-2,1.818015018E0
1.866897042E0,-3.713677758E-1,1.458134785E0,3.157847285E-2,1.505014378E0
1.876850042E0,-4.132592753E-1,1.121485437E0,3.736838579E-2,1.195788113E0
1.886804042E0,-4.408230498E-1,7.896308059E-1,-1.090143375E-1,9.108929117E-1
1.896758042E0,-4.651576996E-1,3.871406400E-1,-4.255077302E-1,7.398015877E-1
1.906711042E0,-4.068945810E-1,-1.406033170E-1,-7.553573513E-1,8.694234992E-1
1.916665042E0,1.003048915E-1,-7.123358774E-1,-8.495723677E-1,1.113219063E0
1.926618042E0,4.976497999E-1,-1.186488934E0,-6.832518268E-1,1.456792494E0
1.936572042E0,7.664199910E-1,-1.619362986E0,-3.945069988E-1,1.834494986E0
1.946525042E0,9.789276883E-1,-1.992338161E0,-1.154828746E-2,2.219874801E0
1.956479042E0,1.200745907E0,-2.306282771E0,4.122743849E-1,2.632622480E0
1.966433042E0,1.361527381E0,-2.542734232E0,7.200694048E-1,2.972836042E0
1.976386042E0,1.488064051E0,-2.642071994E0,9.567974389E-1,3.179676144E0
1.986340042E0,1.570960320E0,-2.692756829E0,1.086727175E0,3.301489303E0
1.996293042E0,1.499747665E0,-2.680097022E0,1.110505463E0,3.265790178E0
2.006247042E0,1.480540731E0,-2.699512117E0,1.083419990E0,3.263918718E0
2.016200042E0,1.453556708E0,-2.679796475E0,9.987710917E-1,3.208064829E0
2.026154042E0,1.542300192E0,-2.632668502E0,9.047081760E-1,3.182472342E0
2.036108042E0,1.789917203E0,-2.496682731E0,8.413746444E-1,3.185143568E0
2.046061042E0,1.904695123E0,-2.139633617E0,8.307736424E-1,2.982629774E0
2.056015042E0,1.862478811E0,-1.702387601E0,8.519590549E-1,2.663228322E0
2.065968042E0,1.622269052E0,-1.350493392E0,7.098974423E-1,2.227003291E0
2.075922042E0,1.090896606E0,-1.158613502E0,4.741695745E-1,1.660505175E0
2.085875042E0,3.123635226E-1,-8.390163893E-1,3.342373717E-1,9.556328230E-1
2.095829042E0,-3.442402035E-1,-1.140721607E-1,3.841081278E-1,5.282545120E-1
2.105783042E0,-5.076046845E-1,8.106948155E-1,6.979903916E-1,1.184094247E0
