"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.206519584E-1,-4.186290658E-1,1.048422577E0,1.865622566E0,2.180593441E0
9.306789583E-1,-4.793345663E-1,1.122770948E0,1.601250066E0,2.013548609E0
9.407049583E-1,-5.278559312E-1,1.148168767E0,1.151212682E0,1.709448461E0
9.507319583E-1,-5.880041921E-1,1.198999125E0,8.084740430E-1,1.561082352E0
9.607589583E-1,-7.983446921E-1,1.369552538E0,8.377294171E-1,1.792991628E0
9.707859583E-1,-8.505049255E-1,1.503215356E0,7.152635783E-1,1.869389478E0
9.808119583E-1,-8.168935219E-1,1.633384025E0,7.197723663E-1,1.962990234E0
9.908389583E-1,-8.585202156E-1,1.749832494E0,5.968621391E-1,2.038434480E0
1.000865958E0,-8.300887142E-1,1.856627210E0,4.134688979E-1,2.075347778E0
1.010891958E0,-7.214334141E-1,1.955913370E0,1.922517729E-1,2.093567297E0
1.020918958E0,-6.967580178E-1,1.894493047E0,-5.644317269E-3,2.018565704E0
1.030945958E0,-7.672814320E-1,1.864095127E0,-2.396405321E-1,2.030024390E0
1.040971958E0,-7.908715850E-1,2.089588175E0,-5.612350541E-1,2.303658263E0
1.050998958E0,-8.831068072E-1,2.198392579E0,-6.962203664E-1,2.469317793E0
1.061025958E0,-9.929257764E-1,2.211054579E0,-8.411050147E-1,2.565564576E0
1.071051958E0,-1.024306540E0,2.234141286E0,-8.130711240E-1,2.588759515E0
1.081078958E0,-9.453189160E-1,2.139560527E0,-7.517227221E-1,2.456915577E0
1.091105958E0,-8.241690662E-1,1.985273117E0,-7.735281587E-1,2.284493338E0
1.101132958E0,-8.406470315E-1,1.922005805E0,-6.276255101E-1,2.189682061E0
1.111158958E0,-9.659256003E-1,1.916785265E0,-5.340566111E-1,2.211853178E0
1.121185958E0,-1.070061076E0,1.718907886E0,-4.062025630E-1,2.065109089E0
1.131212958E0,-1.163588313E0,1.462423133E0,-2.970186746E-1,1.892310566E0
1.141238958E0,-1.154921132E0,1.332456779E0,-2.720194888E-1,1.784174456E0
1.151265958E0,-1.106433535E0,1.279844702E0,-1.576719242E-1,1.699134504E0
1.161292958E0,-9.862949608E-1,1.106824275E0,-3.678658783E-2,1.482966951E0
1.171314958E0,-8.689229239E-1,1.122976477E0,7.792935133E-2,1.422032419E0
1.181341958E0,-9.047063488E-1,1.271462718E0,3.330088717E-1,1.595620860E0
1.191368958E0,-9.767059656E-1,1.339702941E0,5.134258801E-1,1.735616503E0
1.201394958E0,-8.758051698E-1,1.214811969E0,4.632538462E-1,1.567611859E0
1.211421958E0,-7.276427916E-1,1.030080081E0,5.627904135E-1,1.381036587E0
1.221448958E0,-7.785886315E-1,9.382112599E-1,7.534207535E-1,1.433207402E0
1.231474958E0,-8.708366445E-1,7.726003517E-1,9.357778680E-1,1.493635827E0
1.241501958E0,-8.267931504E-1,5.904092250E-1,1.112873658E0,1.506870182E0
1.251528958E0,-6.651897776E-1,4.678735851E-1,1.273932289E0,1.511385659E0
1.261555958E0,-4.323176900E-1,2.899678096E-1,1.197929011E0,1.306144644E0
1.271581958E0,-3.275670142E-1,2.046614648E-1,1.247264893E0,1.305701412E0
1.281608958E0,-2.575591052E-1,1.821876915E-1,1.323788574E0,1.360861946E0
1.291635958E0,-5.276892856E-2,1.258081803E-1,1.209886567E0,1.217554008E0
1.301661958E0,1.867455961E-1,7.175162181E-2,1.093342203E0,1.111494214E0
1.311688958E0,3.410251120E-1,4.387019724E-3,1.106537030E0,1.157903956E0
1.321715958E0,4.752904127E-1,-1.596944761E-1,1.140864279E0,1.246184018E0
